Date;3794 - Consumer price index (2005=100) - United States - Index
01/1980;35.70
02/1980;36.20
03/1980;36.70
04/1980;37.10
05/1980;37.50
06/1980;37.90
07/1980;37.90
08/1980;38.20
09/1980;38.50
10/1980;38.90
11/1980;39.20
12/1980;39.60
01/1981;39.90
02/1981;40.30
03/1981;40.60
04/1981;40.80
05/1981;41.20
06/1981;41.50
07/1981;42.00
08/1981;42.30
09/1981;42.80
10/1981;42.90
11/1981;43.00
12/1981;43.10
01/1982;43.30
02/1982;43.40
03/1982;43.30
04/1982;43.50
05/1982;44.00
06/1982;44.50
07/1982;44.70
08/1982;44.80
09/1982;44.90
10/1982;45.00
11/1982;45.00
12/1982;44.80
01/1983;44.90
02/1983;44.90
03/1983;44.90
04/1983;45.20
05/1983;45.50
06/1983;45.60
07/1983;45.80
08/1983;46.00
09/1983;46.20
10/1983;46.30
11/1983;46.40
12/1983;46.50
01/1984;46.70
02/1984;46.90
03/1984;47.00
04/1984;47.30
05/1984;47.40
06/1984;47.60
07/1984;47.70
08/1984;47.90
09/1984;48.20
10/1984;48.30
11/1984;48.30
12/1984;48.30
01/1985;48.40
02/1985;48.60
03/1985;48.80
04/1985;49.00
05/1985;49.20
06/1985;49.30
07/1985;49.40
08/1985;49.50
09/1985;49.70
10/1985;49.80
11/1985;50.00
12/1985;50.10
01/1986;50.30
02/1986;50.10
03/1986;49.90
04/1986;49.80
05/1986;50.00
06/1986;50.20
07/1986;50.20
08/1986;50.30
09/1986;50.60
10/1986;50.60
11/1986;50.60
12/1986;50.70
01/1987;51.00
02/1987;51.20
03/1987;51.40
04/1987;51.70
05/1987;51.90
06/1987;52.10
07/1987;52.20
08/1987;52.50
09/1987;52.70
10/1987;52.90
11/1987;52.90
12/1987;52.90
01/1988;53.10
02/1988;53.20
03/1988;53.40
04/1988;53.70
05/1988;53.90
06/1988;54.10
07/1988;54.30
08/1988;54.60
09/1988;54.90
10/1988;55.10
11/1988;55.20
12/1988;55.30
01/1989;55.50
02/1989;55.80
03/1989;56.10
04/1989;56.50
05/1989;56.80
06/1989;56.90
07/1989;57.00
08/1989;57.10
09/1989;57.30
10/1989;57.60
11/1989;57.70
12/1989;57.80
01/1990;58.40
02/1990;58.70
03/1990;59.00
04/1990;59.10
05/1990;59.30
06/1990;59.60
07/1990;59.80
08/1990;60.40
09/1990;60.90
10/1990;61.20
11/1990;61.40
12/1990;61.40
01/1991;61.70
02/1991;61.80
03/1991;61.90
04/1991;62.00
05/1991;62.20
06/1991;62.40
07/1991;62.50
08/1991;62.60
09/1991;62.90
10/1991;63.00
11/1991;63.20
12/1991;63.20
01/1992;63.30
02/1992;63.60
03/1992;63.90
04/1992;64.00
05/1992;64.10
06/1992;64.30
07/1992;64.40
08/1992;64.60
09/1992;64.80
10/1992;65.00
11/1992;65.10
12/1992;65.10
01/1993;65.40
02/1993;65.60
03/1993;65.90
04/1993;66.00
05/1993;66.10
06/1993;66.20
07/1993;66.20
08/1993;66.40
09/1993;66.50
10/1993;66.80
11/1993;66.90
12/1993;66.90
01/1994;67.00
02/1994;67.30
03/1994;67.50
04/1994;67.60
05/1994;67.60
06/1994;67.90
07/1994;68.10
08/1994;68.30
09/1994;68.50
10/1994;68.60
11/1994;68.70
12/1994;68.70
01/1995;68.90
02/1995;69.20
03/1995;69.40
04/1995;69.70
05/1995;69.80
06/1995;69.90
07/1995;69.90
08/1995;70.10
09/1995;70.30
10/1995;70.50
11/1995;70.40
12/1995;70.40
01/1996;70.80
02/1996;71.00
03/1996;71.40
04/1996;71.70
05/1996;71.80
06/1996;71.90
07/1996;72.00
08/1996;72.10
09/1996;72.40
10/1996;72.60
11/1996;72.70
12/1996;72.70
01/1997;73.00
02/1997;73.20
03/1997;73.40
04/1997;73.50
05/1997;73.40
06/1997;73.50
07/1997;73.60
08/1997;73.70
09/1997;73.90
10/1997;74.10
11/1997;74.10
12/1997;74.00
01/1998;74.10
02/1998;74.20
03/1998;74.40
04/1998;74.50
05/1998;74.70
06/1998;74.80
07/1998;74.80
08/1998;74.90
09/1998;75.00
10/1998;75.20
11/1998;75.20
12/1998;75.20
01/1999;75.30
02/1999;75.40
03/1999;75.70
04/1999;76.20
05/1999;76.20
06/1999;76.20
07/1999;76.40
08/1999;76.60
09/1999;77.00
10/1999;77.10
11/1999;77.20
12/1999;77.20
01/2000;77.40
02/2000;77.90
03/2000;78.50
04/2000;78.60
05/2000;78.60
06/2000;79.10
07/2000;79.20
08/2000;79.20
09/2000;79.70
10/2000;79.80
11/2000;79.80
12/2000;79.80
01/2001;80.30
02/2001;80.60
03/2001;80.80
04/2001;81.10
05/2001;81.50
06/2001;81.60
07/2001;81.40
08/2001;81.40
09/2001;81.80
10/2001;81.50
11/2001;81.40
12/2001;81.00
01/2002;81.20
02/2002;81.50
03/2002;82.00
04/2002;82.50
05/2002;82.50
06/2002;82.50
07/2002;82.60
08/2002;82.90
09/2002;83.00
10/2002;83.10
11/2002;83.10
12/2002;83.00
01/2003;83.30
02/2003;84.00
03/2003;84.50
04/2003;84.30
05/2003;84.20
06/2003;84.20
07/2003;84.30
08/2003;84.70
09/2003;84.90
10/2003;84.80
11/2003;84.60
12/2003;84.50
01/2004;84.90
02/2004;85.40
03/2004;85.90
04/2004;86.20
05/2004;86.70
06/2004;87.00
07/2004;86.90
08/2004;86.90
09/2004;87.10
10/2004;87.50
11/2004;87.60
12/2004;87.30
01/2005;87.50
02/2005;88.00
03/2005;88.60
04/2005;89.20
05/2005;89.20
06/2005;89.20
07/2005;89.60
08/2005;90.10
09/2005;91.20
10/2005;91.40
11/2005;90.60
12/2005;90.30
01/2006;90.90
02/2006;91.10
03/2006;91.60
04/2006;92.40
05/2006;92.90
06/2006;93.00
07/2006;93.30
08/2006;93.50
09/2006;93.00
10/2006;92.50
11/2006;92.40
12/2006;92.50
01/2007;92.80
02/2007;93.30
03/2007;94.20
04/2007;94.80
05/2007;95.40
06/2007;95.60
07/2007;95.50
08/2007;95.40
09/2007;95.60
10/2007;95.80
11/2007;96.40
12/2007;96.30
01/2008;96.80
02/2008;97.10
03/2008;97.90
04/2008;98.50
05/2008;99.30
06/2008;100.30
07/2008;100.90
08/2008;100.50
09/2008;100.30
10/2008;99.30
11/2008;97.40
12/2008;96.40
01/2009;96.80
02/2009;97.30
03/2009;97.50
04/2009;97.80
05/2009;98.10
06/2009;98.90
07/2009;98.80
08/2009;99.00
09/2009;99.00
10/2009;99.10
11/2009;99.20
12/2009;99.00
01/2010;99.40
02/2010;99.40
03/2010;99.80
04/2010;100.00
05/2010;100.10
06/2010;100.00
07/2010;100.00
08/2010;100.10
09/2010;100.20
10/2010;100.30
11/2010;100.30
12/2010;100.50
01/2011;101.00
02/2011;101.50
03/2011;102.50
04/2011;103.10
05/2011;103.60
06/2011;103.50
07/2011;103.60
08/2011;103.90
09/2011;104.10
10/2011;103.80
11/2011;103.70
12/2011;103.50
01/2012;103.90
02/2012;104.40
03/2012;105.20
04/2012;105.50
05/2012;105.40
06/2012;105.20
07/2012;105.10
08/2012;105.70
09/2012;106.10
10/2012;106.10
11/2012;105.60
12/2012;105.30
01/2013;105.60
02/2013;106.50
03/2013;106.70
04/2013;106.60
05/2013;106.80
06/2013;107.10
07/2013;107.10
08/2013;107.30
09/2013;107.40
10/2013;107.10
11/2013;106.90
12/2013;106.90
01/2014;107.30
02/2014;107.70
03/2014;108.40
04/2014;108.70
05/2014;109.10
06/2014;109.30
07/2014;109.30
08/2014;109.10
09/2014;109.20
10/2014;108.90
11/2014;108.30
12/2014;107.70
01/2015;107.20
02/2015;107.60
03/2015;108.30
04/2015;108.50
05/2015;109.10
06/2015;109.40
07/2015;109.40
08/2015;109.30
09/2015;109.10
10/2015;109.10
11/2015;108.80
12/2015;108.50
01/2016;108.60
02/2016;108.70
03/2016;109.20
04/2016;109.70
05/2016;110.20
06/2016;110.50
07/2016;110.40
Source;IMF-IFS
