Data;Expectativa
01/03/2002;4,751147541
01/06/2002;4,641111111
01/09/2002;5,257575758
01/12/2002;10,17453125
01/03/2003;11,36311475
01/06/2003;8,595901639
01/09/2003;6,580757576
01/12/2003;6,05016129
01/03/2004;5,794262295
01/06/2004;5,824354839
01/09/2004;6,301538462
01/12/2004;6,190666667
01/03/2005;5,72442623
01/06/2005;5,464603175
01/09/2005;4,837230769
01/12/2005;4,616129032
01/03/2006;4,47047619
01/06/2006;4,114754098
01/09/2006;4,28859375
01/12/2006;4,054918033
01/03/2007;3,900483871
01/06/2007;3,499032258
01/09/2007;3,64078125
01/12/2007;3,903387097
01/03/2008;4,351639344
01/06/2008;4,808064516
01/09/2008;5,311969697
01/12/2008;5,247692308
01/03/2009;4,602131148
01/06/2009;4,13
01/09/2009;4,077230769
01/12/2009;4,334603175
01/03/2010;4,596721311
01/06/2010;4,802419355
01/09/2010;5,004
01/12/2010;5,424761905
01/03/2011;5,533387097
01/06/2011;5,291612903
01/09/2011;5,467846154
01/12/2011;5,529354839
01/03/2012;5,331587302
01/06/2012;5,505806452
01/09/2012;5,58421875
01/12/2012;5,462580645
01/03/2013;5,585
01/06/2013;5,614444444
01/09/2013;5,914242424
01/12/2013;6,16671875
01/03/2014;6,13557377
01/06/2014;6,107377049
01/09/2014;6,113939394
01/12/2014;6,510615385
01/03/2015;6,821147541
01/06/2015;6,210163934
01/09/2015;5,890153846
01/12/2015;6,826666667
01/03/2016;6,966885246
01/06/2016;6,173333333
01/09/2016;5,517846154
01/12/2016;4,87983871
01/03/2017;4,61952381
01/06/2017;4,489508197
01/09/2017;4,30234375
;
