Data;20048 - Índice de Commodities - Brasil - Índice
01/1998;40,50
02/1998;40,35
03/1998;39,55
04/1998;39,29
05/1998;39,28
06/1998;38,17
07/1998;37,28
08/1998;36,86
09/1998;36,63
10/1998;36,89
11/1998;36,74
12/1998;35,78
01/1999;44,72
02/1999;54,93
03/1999;54,19
04/1999;48,08
05/1999;47,95
06/1999;49,75
07/1999;48,92
08/1999;52,98
09/1999;54,35
10/1999;57,08
11/1999;56,74
12/1999;54,37
01/2000;54,50
02/2000;53,47
03/2000;53,00
04/2000;53,27
05/2000;56,65
06/2000;56,22
07/2000;55,94
08/2000;56,41
09/2000;58,42
10/2000;60,08
11/2000;62,33
12/2000;63,77
01/2001;62,97
02/2001;62,92
03/2001;63,02
04/2001;64,69
05/2001;67,42
06/2001;68,59
07/2001;70,08
08/2001;69,72
09/2001;70,01
10/2001;67,54
11/2001;63,76
12/2001;59,38
01/2002;60,90
02/2002;60,65
03/2002;59,36
04/2002;57,30
05/2002;61,16
06/2002;68,06
07/2002;77,46
08/2002;82,06
09/2002;91,46
10/2002;105,84
11/2002;103,56
12/2002;106,77
01/2003;103,33
02/2003;110,95
03/2003;102,33
04/2003;93,36
05/2003;89,67
06/2003;86,67
07/2003;88,15
08/2003;93,32
09/2003;93,56
10/2003;97,42
11/2003;100,82
12/2003;103,39
01/2004;101,33
02/2004;104,58
03/2004;108,23
04/2004;109,10
05/2004;117,90
06/2004;116,92
07/2004;109,97
08/2004;107,86
09/2004;105,63
10/2004;106,07
11/2004;103,55
12/2004;101,35
01/2005;101,00
02/2005;98,58
03/2005;108,57
04/2005;102,01
05/2005;95,13
06/2005;92,78
07/2005;91,46
08/2005;92,85
09/2005;92,66
10/2005;94,62
11/2005;92,40
12/2005;100,00
01/2006;102,49
02/2006;97,88
03/2006;94,48
04/2006;96,66
05/2006;101,26
06/2006;101,71
07/2006;101,96
08/2006;99,94
09/2006;97,63
10/2006;99,60
11/2006;104,04
12/2006;105,06
01/2007;102,48
02/2007;101,96
03/2007;102,19
04/2007;100,31
05/2007;98,65
06/2007;97,60
07/2007;97,07
08/2007;99,74
09/2007;100,28
10/2007;98,48
11/2007;98,41
12/2007;100,17
01/2008;104,42
02/2008;110,90
03/2008;112,95
04/2008;112,95
05/2008;112,52
06/2008;113,22
07/2008;111,54
08/2008;105,26
09/2008;110,52
10/2008;109,94
11/2008;103,55
12/2008;102,64
01/2009;102,25
02/2009;98,72
03/2009;97,28
04/2009;97,36
05/2009;97,83
06/2009;94,38
07/2009;93,30
08/2009;94,80
09/2009;92,91
10/2009;92,63
11/2009;95,06
12/2009;99,32
01/2010;104,30
02/2010;104,98
03/2010;98,57
04/2010;97,54
05/2010;95,55
06/2010;93,62
07/2010;95,15
08/2010;101,02
09/2010;106,02
10/2010;111,33
11/2010;119,42
12/2010;124,77
01/2011;130,91
02/2011;138,98
03/2011;137,43
04/2011;132,20
05/2011;124,55
06/2011;122,20
07/2011;120,40
08/2011;121,30
09/2011;130,73
10/2011;126,74
11/2011;125,01
12/2011;124,34
01/2012;125,05
02/2012;121,35
03/2012;124,59
04/2012;125,32
05/2012;127,16
06/2012;125,37
07/2012;135,17
08/2012;135,05
09/2012;135,45
10/2012;134,49
11/2012;135,41
12/2012;137,40
01/2013;135,46
02/2013;131,44
03/2013;129,05
04/2013;126,56
05/2013;127,26
06/2013;134,06
07/2013;137,10
08/2013;142,27
09/2013;138,26
10/2013;134,56
11/2013;138,24
12/2013;141,69
01/2014;143,73
02/2014;149,87
03/2014;151,90
04/2014;148,06
05/2014;145,16
06/2014;142,97
07/2014;140,32
08/2014;138,44
09/2014;139,83
10/2014;146,85
11/2014;151,32
12/2014;149,44
01/2015;141,76
02/2015;148,81
03/2015;160,54
04/2015;157,11
05/2015;158,30
06/2015;158,28
07/2015;162,67
08/2015;169,87
09/2015;186,75
10/2015;189,34
11/2015;179,18
12/2015;181,47
01/2016;186,87
02/2016;184,11
03/2016;176,00
04/2016;170,56
05/2016;173,06
06/2016;173,09
07/2016;163,20
08/2016;158,96
09/2016;161,88
10/2016;162,04
11/2016;172,03
12/2016;171,83
01/2017;169,88
02/2017;165,86
03/2017;162,01
04/2017;160,31
05/2017;165,03
06/2017;164,98
07/2017;163,96
08/2017;160,25
09/2017;162,03
Fonte;BCB-Depec
